# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	720
#@/user_id	3f58877e-a7cc-40cc-b9f8-dce6e53b0ed7
a 	啊	c=4 d=3.03386 t=720
fa da le fa da jiao ao 	發達了發達驕傲	c=1 d=0.985112 t=720
fa da le ji fen lao da ji fen lao da fu jin 	發達了積分老大積分老大附近	c=1 d=0.97531 t=720
fa da le ka fei ji a li 	發達了咖啡機阿里	c=1 d=1 t=718
fa da le kai fa da jian 	發達了開發搭建	c=1 d=1 t=716
fa da le shi fou ji da lei 	發達了是否幾大類	c=1 d=0.980199 t=720
fa da wo men 	發達我們	c=1 d=0.918512 t=720
fa dong ji 	發動機	c=1 d=0.806541 t=720
fa dong ji ka la wo men de 	發動機卡拉我們的	c=1 d=0.062662 t=720
fa fa da 	發發達	c=1 d=0.965605 t=720
fa gui 	法規	c=1 d=0.932394 t=720
fa la 	法拉	c=0 d=0.645759 t=720
fa la da fa la di 	法拉打法拉第	c=1 d=0.97531 t=720
fa la da fu du 	法拉大幅度	c=1 d=0.974173 t=720
fa la da fu du a 	法拉大幅度啊	c=2 d=1.90284 t=720
fa la da fu lao da 	法拉大幅老大	c=1 d=1 t=720
fa la da ji fen lao da 	法拉打積分老大	c=1 d=0.955997 t=720
fa la da jia fa la 	法拉大家法拉	c=1 d=0.960789 t=720
fa la di 	法拉第	c=0 d=0.358096 t=720
fa la di ka fa da le 	法拉第卡發達了	c=1 d=1 t=717
fa la ju da fa la di 	法拉巨大法拉第	c=1 d=0.937067 t=720
fa lv 	法律	c=0 d=0.0970446 t=720
fa xian 	發現	c=1 d=0.371948 t=720
fang a 	放啊	c=1 d=0.166127 t=720
fang an 	方案	c=1 d=0.16696 t=720
fang bian 	方便	c=0 d=0.0865022 t=720
fang bian de 	方便的	c=1 d=0.869358 t=720
fang da jing 	放大鏡	c=0 d=0.0826959 t=720
fang fa 	方法	c=2 d=0.806597 t=720
fang jian li 	房間裏	c=0 d=0.380665 t=720
fang jian li da fa da 	房間裏打發達	c=1 d=0.995012 t=720
fang jian li da fei ji lao da 	房間裏打飛機老大	c=1 d=1 t=720
fang jian li da fu 	房間裏大幅	c=1 d=0.995012 t=720
fang jian li kuo da fa da la 	房間裏擴大發達啦	c=1 d=0.965605 t=720
fang jing dian 	防靜電	c=0 d=0.928356 t=720
fang jing dian kai sa li fa dian jian kang la fang jing dian lu ka shen ke fang jing dian ka fei ji da ji fen kuo da fu jin o 	防靜電凱撒理髮店健康啦防靜電盧卡申科防靜電咖啡機打積分擴大附近哦	c=1 d=1 t=720
fang jing dian la fa da 	防靜電啦發達	c=1 d=0.970446 t=720
fang jing dian la feng wo men 	防靜電拉風我們	c=1 d=0.970446 t=720
fang jing dian la ji fang da jing 	防靜電垃圾放大鏡	c=1 d=0.831104 t=720
fang jing dian la se fa da 	防靜電垃圾發達	c=1 d=0.995012 t=720
fang jing dian lv ka fa da le 	防靜電綠卡發達了	c=1 d=0.99005 t=720
fang shi 	方式	c=0 d=0.0822835 t=720
fei chang 	非常	c=0 d=0.00593087 t=720
fen li 	分離	c=2 d=0.6305 t=720
fen qu 	分區	c=4 d=1.02668 t=720
fen xi 	分析	c=3 d=1.37882 t=720
fen xiang 	分享	c=1 d=0.156453 t=720
fu jin 	附近	c=0 d=0.193124 t=720
fu lan ke 	弗蘭克	c=0 d=0.0985112 t=720
fu lan ke da fei ji da 	弗蘭克打飛機打	c=1 d=0.99005 t=720
fu wu 	服務	c=0 d=0.0286505 t=720
gai dong 	改動	c=1 d=0.119433 t=720
gai ge kai fang 	改革開放	c=1 d=0.519442 t=720
gai lv 	概率	c=2 d=0.304631 t=720
gang cai 	剛纔	c=1 d=0.657047 t=720
ge 	個	c=1 d=0.913931 t=720
ge fang 	各方	c=0 d=0.00833256 t=720
ge ming 	革命	c=0 d=0.0511709 t=720
gei 	給	c=1 d=0.0735345 t=720
gei ni 	給你	c=0 d=0.0140156 t=720
gen ben 	根本	c=1 d=0.447088 t=720
gen ju 	根據	c=1 d=0.198891 t=720
geng huan 	更換	c=1 d=0.0753961 t=720
geng xin 	更新	c=5 d=0.701951 t=720
geng xin di nuan 	更新地暖	c=1 d=0.111359 t=720
gong chang 	工廠	c=1 d=0.343009 t=720
gong neng 	功能	c=1 d=0.321422 t=720
gong zuo 	工作	c=0 d=0.0082085 t=720
gua zai 	掛在	c=0 d=0.0113042 t=720
gua zai 	掛載	c=1 d=0.114178 t=720
guan ji 	關機	c=1 d=0.0776922 t=720
gui fu shen gong 	鬼斧神工	c=1 d=0.960789 t=720
guo 	過	c=0 d=0.0447088 t=720
guo lai 	過來	c=1 d=0.860708 t=720
ha 	哈	c=1 d=0.995012 t=720
ha ha 	哈哈	c=4 d=1.77772 t=720
ha ha ha 	哈哈哈	c=3 d=2.43851 t=720
hai 	還	c=0 d=0.0194952 t=720
hai hao 	還好	c=0 d=0.0423162 t=720
hai hao si 	還好死	c=1 d=0.425283 t=720
hai qing 	還請	c=2 d=1.06647 t=720
hai shi 	還是	c=2 d=0.795295 t=720
hai xu yao 	還需要	c=1 d=0.19593 t=720
